"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,23,7.52275701616243,0.470703333029395,"[2.87, 12.23]",2.87149771591671,12.2346774246837,2.20779433144249,0.139179478501535
"2","facebook_S",2,32,4.67174847009374,0.304475797880312,"[1.15, 8.18]",1.15175572718089,8.17737053276534,1.69524949678224,0.105213270698474
"3","facebook_S",3,23,3.45201145514944,0.235718294670524,"[1.11, 5.8]",1.11413983131953,5.80302261326146,1.10561680420133,0.069698145357016
"4","facebook_S",4,22,3.50618087061563,0.29905376077917,"[0.58, 6.41]",0.579568310964387,6.41366072739802,1.37043649563176,0.0866158121989612
"5","ooh_S",1,23,0.390921314611446,0.0139031540777856,"[0.25, 0.53]",0.252916807132257,0.529476841902297,0.0652115729976988,0.0041109412198529
"6","ooh_S",2,32,0.36486319964886,0.0093295596480653,"[0.26, 0.47]",0.257246231256486,0.472520787885767,0.051944789729395,0.00322388016250577
"7","ooh_S",3,23,0.585607601938567,0.0247924698969395,"[0.34, 0.83]",0.339358094444547,0.832527219836622,0.116286991529553,0.00733073846920385
"8","ooh_S",4,22,0.550993425504602,0.0190621735692984,"[0.37, 0.74]",0.365633093615649,0.737507642096938,0.0873538532916964,0.00552103287944123
"9","print_S",1,23,7.62478226788668,0.513188493010695,"[2.53, 12.74]",2.52802325975215,12.7363131683991,2.4070673953774,0.151741663630321
"10","print_S",2,32,6.46356997702126,0.45168384640286,"[1.26, 11.69]",1.26296272616632,11.6853238491962,2.51486922326783,0.156081813833995
"11","print_S",3,23,8.36909532251134,0.609974997848197,"[2.29, 14.42]",2.29006791166211,14.4236244895391,2.86103634300545,0.180359891554423
"12","print_S",4,22,8.17536177467678,0.557628731131519,"[2.76, 13.64]",2.75813673780565,13.6366408000976,2.55537587009236,0.161507634368452
"13","search_S",1,23,1.64391956824818,0.227635768865998,"[0, 3.92]",0,3.9168418715493,1.0677063977886,0.0611338855265303
"14","search_S",2,32,1.14991643539119,0.143908312969431,"[0, 2.81]",0,2.81400542598479,0.801247576466189,0.0446111169587593
"15","search_S",3,23,1.97297669296161,0.268149315001627,"[0, 4.64]",0,4.64012021705407,1.25773177306949,0.0722786238706368
"16","search_S",4,22,1.97764336941234,0.181751500793422,"[0.2, 3.74]",0.197095545112081,3.74279598937879,0.832890010057683,0.0526412168119402
"17","tv_S",1,23,3.91313551145577,0.214825191433633,"[1.78, 6.05]",1.78101543497544,6.05429487070395,1.0076194635074,0.0635203875024576
"18","tv_S",2,32,3.28464613876134,0.22642682402003,"[0.67, 5.9]",0.674822017086978,5.8994988495028,1.26069120156751,0.0782430225813217
"19","tv_S",3,23,2.91299476841009,0.172111492095991,"[1.2, 4.63]",1.20287189135781,4.62649504708795,0.80727445497376,0.0508906269260369
"20","tv_S",4,22,3.37113284196951,0.148600902539927,"[1.93, 4.82]",1.92570524385497,4.82468700661421,0.68097488422797,0.043039712436517
