"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,0,139812.944664208,0,1630063.39185619,0,40253.4103189124,52441.0766898816,47962.971411151,27212.7635910761,6431.46237636278,15899.2683223365,323167.91448382,2283245.20371393,"1_194_3",4,TRUE
"2",2016-01-11,2464131.66666667,0,99235.7677178639,0,1741737.17634953,0,18923.6908204038,33297.184079053,161604.554509463,29821.720121756,7606.93580076518,8134.224364452,323167.91448382,2423529.1682471,"1_194_3",4,TRUE
"3",2016-01-18,2012520,0,64446.1739965228,0,1566771.00082643,0,4707.07179619707,19271.6877062858,33526.7933227792,26321.8375755695,5213.16964647392,7494.44206132837,323167.91448382,2050920.0914154,"1_194_3",4,TRUE
"4",2016-01-25,1738911.66666667,0,47844.0660897627,0,1293743.47882136,0,1150.71429374976,10475.1603894764,81759.2855678114,20314.1949386798,4917.27622804661,4046.16844051532,323167.91448382,1787418.25925322,"1_194_3",4,TRUE
"5",2016-02-01,1772306.66666667,0,41234.2524799075,0,1280819.58588711,0,49015.8336012505,26126.7884350357,11598.3530480455,279.562591126143,4274.52340965364,1344.70216944209,323167.91448382,1737861.51610539,"1_194_3",4,TRUE
"6",2016-02-08,1809058.33333333,0,30776.608002304,0,1372537.9504112,0,12660.7765711983,14636.669527115,25749.1766210068,19690.6267322831,4090.47613194515,1313.46005233815,323167.91448382,1804623.65853321,"1_194_3",4,TRUE
"7",2016-02-15,1952740,0,12459.1918389096,0,1360946.03928092,0,203694.938080743,7798.92324614172,14617.0867550516,5950.14663895593,172.983715504501,5483.94159202453,323167.91448382,1934291.16563207,"1_194_3",4,TRUE
"8",2016-02-22,1507805,0,-8869.11304985231,0,1174949.35292463,0,65567.8441749784,4038.078913099,1638.01932555216,58.11394289001,6.81071870951412,6735.23984272981,323167.91448382,1567292.26127656,"1_194_3",4,TRUE
"9",2016-02-29,1510391.66666667,0,-29820.2543454863,0,1066127.21082298,0,150688.515024214,2058.80531064511,176.397149412274,9064.99564694853,2621.64782346889,74.3600278645972,323167.91448382,1524159.59194387,"1_194_3",4,TRUE
"10",2016-03-07,1588840,0,-51414.4425295403,0,1167724.53777736,0,44731.5531842943,1041.28808410968,107740.92016686,94.4840575434298,4124.52000914493,425.37912187506,323167.91448382,1597636.15435546,"1_194_3",4,TRUE
"11",2016-03-14,1605990,0,-72621.4136374907,0,1154266.5900226,0,75657.7688891772,25956.2624022838,17037.1504645073,0.825154727266663,3467.91742033501,195.215755459179,323167.91448382,1527128.23095542,"1_194_3",4,TRUE
"12",2016-03-21,1356010,0,-87761.318254394,0,1056513.05544374,0,20230.7845825993,14530.0561001472,1923.78145054054,0.00719412194606194,3239.5702545247,370.551322401368,323167.91448382,1332214.4025775,"1_194_3",4,TRUE
"13",2016-03-28,2103936.66666667,0,-94523.7567862468,969436.422329731,1053365.98841611,0,5040.30086437278,31951.0483885197,88323.3995403933,39237.5171332932,3652.58048941178,866.803565975783,323167.91448382,2420518.21842538,"1_194_3",4,TRUE
"14",2016-04-04,1120835,0,-101141.37855601,0,873770.714523226,0,1232.67367007933,18378.258460946,12863.9480382936,1230.71009202481,2580.84238105567,865.803670620838,323167.91448382,1132949.48676406,"1_194_3",4,TRUE
"15",2016-04-11,1141140,0,-119107.869958521,0,880881.005879668,0,300.085243653654,32484.2347308425,1433.69590841087,10.9734460042016,2383.84898451416,78.692515407216,323167.91448382,1121632.5812338,"1_194_3",4,TRUE
"16",2016-04-18,1166880,0,-147397.300517429,0,856213.749944809,0,30735.4421441436,18730.8095061208,154.298922493912,8323.5342741097,2227.06597293204,1091.86180757339,323167.91448382,1093247.37653857,"1_194_3",4,TRUE
"17",2016-04-25,888806.666666667,0,-169138.773485356,0,691929.1382759,0,7757.82655057276,10157.3244321038,16.5425523057705,85.3902824987979,2228.89701605065,365.514486954481,323167.91448382,866569.774594851,"1_194_3",4,TRUE
"18",2016-05-02,898873.333333333,0,-169000.160378524,0,668886.717838706,0,1903.53686336715,5310.97369974554,78217.1901464199,0.74561380613256,1412.91036601855,195.944705070546,323167.91448382,910095.77333843,"1_194_3",4,TRUE
"19",2016-05-09,889373.333333334,0,-152561.15158783,0,687485.147747618,0,463.776426165865,27650.4380514421,10942.3743338064,0.00650063408874616,1544.48961474764,19.5857656789138,323167.91448382,898712.581336083,"1_194_3",4,TRUE
"20",2016-05-16,1915375,0,-142944.85342138,327146.201327519,710315.816032785,0,112.798522144188,15596.5277573687,1212.28721462394,19773.7207530769,62.3146877057025,4186.24168466854,323167.91448382,1258628.96904233,"1_194_3",4,TRUE
"21",2016-05-23,1006845,0,-155862.376738304,0,769525.550780435,0,27.4229942665851,41047.3986870901,130.383478285285,267.999752731889,2.44868317699463,6432.86496507123,323167.91448382,984739.607086573,"1_194_3",4,TRUE
