"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,27,1.45399642178947,0.193735596642465,"[0, 3.53]",0,3.53124346936402,0.987861587757468,0.055625925705848
"2","facebook_S",2,25,1.86103505356382,0.352664122989632,"[0, 5.52]",0,5.51685367539898,1.72769430382146,0.0906287099297162
"3","facebook_S",3,7,0.569459534248409,0.0869698947072417,"[0, 1.13]",0.00440602770866172,1.1304783506319,0.213031865016321,0.0156781419490493
"4","facebook_S",4,15,2.39008153959041,0.433687193960707,"[0, 5.97]",0,5.96812312136386,1.62270889283234,0.0930660697679651
"5","facebook_S",5,12,1.74393778602983,0.363543237904945,"[0, 4.54]",0,4.54065656558506,1.20573651520161,0.0702235312726089
"6","facebook_S",6,15,0.979683493593068,0.206315512194464,"[0, 2.7]",0,2.69667569593309,0.771961960208467,0.0428343395590911
"7","ooh_S",1,27,1.09147087099594,0.013068097556106,"[0.95, 1.23]",0.951941601547044,1.23109823141754,0.0666344844441185,0.00416591513897705
"8","ooh_S",2,25,1.27369335170605,0.053073138065291,"[0.73, 1.82]",0.727104817739053,1.82248055087945,0.260004214616491,0.0163170117411452
"9","ooh_S",3,7,1.12896806157065,0.0153642912016212,"[1.03, 1.23]",1.02914717384948,1.22808156536184,0.0376346737035049,0.00276973473655924
"10","ooh_S",4,15,1.09490176317019,0.0227517830269227,"[0.91, 1.28]",0.905991597301664,1.28397712164162,0.0851293770249632,0.00553782099383723
"11","ooh_S",5,12,1.04458400486018,0.0467083489484089,"[0.69, 1.4]",0.691989694658875,1.40423935226882,0.154914068038864,0.0103240181180573
"12","ooh_S",6,15,1.0955106020893,0.0132242133293866,"[0.99, 1.21]",0.985748533367035,1.20544829067295,0.0494804754881739,0.00321879503315414
"13","print_S",1,27,6.12252166307201,0.130191481078787,"[4.73, 7.51]",4.72917711700303,7.51028698703308,0.663848902524281,0.041503107829077
"14","print_S",2,25,5.76231022285328,0.102570463801281,"[4.69, 6.81]",4.69395665623091,6.81090698328074,0.502490597987503,0.0315346618487358
"15","print_S",3,7,6.11293923850674,0.0897680947698313,"[5.53, 6.69]",5.53207712949891,6.69438010045376,0.21988602736789,0.0161825760170771
"16","print_S",4,15,5.88211563761315,0.153636292334651,"[4.61, 7.16]",4.61008874748699,7.16251703176881,0.574854368090508,0.0373953234390185
"17","print_S",5,12,5.58328064530969,0.0966161217126427,"[4.84, 6.32]",4.84383399051247,6.31712091156033,0.320439424420145,0.02135520979685
"18","print_S",6,15,5.45992662996421,0.097643940425937,"[4.65, 6.27]",4.64879641025009,6.27099876585639,0.365350170968422,0.0237666939145773
"19","search_S",1,27,0.961092305399181,0.112036842630685,"[0, 2.17]",0,2.16527745998424,0.571278046815189,0.0334124601375214
"20","search_S",2,25,2.81610546648733,0.321410374146222,"[0, 6.15]",0,6.14640167507475,1.57458282939055,0.0938946195338974
"21","search_S",3,7,2.09962468438018,0.0723169694388674,"[1.63, 2.57]",1.6324948093276,2.56884339336256,0.17713967486967,0.0130366457956999
"22","search_S",4,15,1.14385934627836,0.131497059572123,"[0.05, 2.24]",0.0511115925283376,2.23573092336127,0.492016944287089,0.0320065981758294
"23","search_S",5,12,1.75237132355188,0.340617847049996,"[0, 4.37]",0,4.37360300290507,1.1297015955635,0.0670000625659805
"24","search_S",6,15,1.88939785188946,0.215562121860245,"[0.08, 3.66]",0.0831332504108611,3.66436297481367,0.806559605567048,0.0524681710660293
"25","tv_S",1,27,1.65615725789745,0.0602413603365472,"[1.01, 2.3]",1.0125200618301,2.29937723887244,0.307171871881429,0.019204049705103
"26","tv_S",2,25,1.52479820909402,0.0806254945386825,"[0.69, 2.36]",0.69220411134148,2.35623253343083,0.394982643758648,0.024787815248552
"27","tv_S",3,7,1.81275888749901,0.0797760304265149,"[1.29, 2.33]",1.29387801549724,2.32680533130438,0.195410568249707,0.014381297498046
"28","tv_S",4,15,2.22201174954764,0.264992239863931,"[0.02, 4.42]",0.0201245672207602,4.42255890005802,0.991510171724651,0.0644995421847127
"29","tv_S",5,12,1.42770749208013,0.0592275464413625,"[0.98, 1.88]",0.979330181779056,1.88248348571048,0.196435548799349,0.0130911555710113
"30","tv_S",6,15,1.54977266640755,0.0744434921897008,"[0.94, 2.17]",0.937701659365209,2.17446461529375,0.278542042448842,0.0181196670790528
